A.bte	abbots
Wildbret (n)	venison
Wildkatze[Noun]	wildcat
Wildleder (n)	suede
Wildniss[Noun]	wilderness
Wilhelm	William
Wille (f)	will
Willenskraft (f)	willpower
Willkommen (n)	welcome
Wimper (m)	eyelash
Wimperntusche (f)	mascara
Wind	wind
Windel (f)	diaper
Windmühle	windmill
Windmühle (f)	windmill
Windmühlen	windmills
Windschutz (m)	windbreak
Windschutzscheibe (f)	windshield
Windschutzscheibewischer (pl)	windshield wipers
Windschutzscheibewischerflüssigkeit (f)	windshield wiper fluid
Windstille	windlessness
Wink (m)	tip
Winkel (m)	square
Winken (n)	wave
Winter (m)	winter
Wirbel (m)[Noun]	eddy
Wirbelsäule (f)	spine
Wirkung (f)	effect
Wirkung (f)	operation
Wirkungskraft (f)	effect
Wirtin (f)	hostess
Wirtschaft (f)	economy
Wirtschaft (f)	tavern
Wirtschaftswissenschaft (f)	economics
Wirtshaus (n)	inn
Wissen[Noun]	knowledge
Wissenschaf (f)t	science
Witterung (f)	weather
Witwe[Noun]	widow
Witwen[Noun]	widows
Witwer	widowers
Witwer[Noun]	widower
Witz (m)	joke
Witz[Noun]	gag
Witzbold (m)	joker
Witze[Noun]	gags
Witzeschreiber[Noun]	gagwriter
Witzeschreiber[Noun]	gagwriters
Wo	where
Wo.lfe	wolves
Woche	week
Woche (f)	week
Wochenende	weekend
Wochenenden	weekends
Wochenmitte[Noun]	midweek
Wochentag	weekday
Wochentage	weekdays
Wochenzeitung (f)	weekly
Wochenzeitungen	weeklies
Wodka (m)	vodka
Wodu (n)	voodoo
Wohlbefinden	wellness
Wohlergehen	wellbeing
Wohlfahrt, Sozialhilfem Sozial-	welfare
Wohltätigkeit (f)	charity
Wohnsitz[Noun]	abode
Wohnung	apartment
Wohnung (f)	apartment
Wohnwagenpark (m)	trailer park
Wolf[Noun]	wolf
Wolfshund[Noun]	wolfhound
Wolke (f)	cloud
Wolle (f)	wool
Wort (n)	word
Wrack (n)[Noun]	wreck
Wucht (f)	weight
Wunde (f)	sore
Wunde (f)	wound
Wunder (n)	wonder
Wunsch (m)	wish
Wurm (m)[Noun]	worm
Wurmloch (n)[Noun]	wormhole
Wurst (f)	sausage
Wurzeln (pl)	carrots
Wut (f)	rage
Wähler (pl)	voters
Wählerschaft (f)	electorate
Wählscheibe (f)	dial
Währung (f)	currency
Wärme (f)	heat
Wäsche (f)	laundry
Wäsche (f)	linen
Wäscherei (f)	laundry
Wäschestärke (f)	starch
Wölbung (f)	arch
Wörterbuch (n)	dictionary
Xylol (Chemie)[Noun]	xylene
Xylophon[Noun]	xylophone
Zabaglione[Noun]	zabaglione
Zahl (f)	number
Zahlkarte (f)	money order
Zahlungsmittel (n)	currency
Zahlwort (n)	numeral
Zahn (m)	tooth
Zahnarzt (m)	dentist
Zahnbürste (f)	toothbrush
Zahnfloß (n)	dental floss
Zahnhelfer (m)	dental assistant
Zahnhelferin (f)	dental assistant
Zahnpasta (f)	toothpaste
Zahnschmerzen (pl)	tooth ache
Zahnstocher (m)	toothpick
Zange (pl)	pliers
Zapfhahn (m)	tap
Zar	tsar
Zauber (m)	spell
Zauberei[Noun]	wizardry
Zauberer[Noun]	wizard
Zauberer[Noun]	wizards
Zauberstab	wand
Zaun (m)	fence
Zaunko.nig[Noun]	wren
Zebra	zebra
Zebra (n)	zebra
Zebras	zebras
Zeche (f)	mine
Zechel (m)	bill
Zeder (f)	cedar
Zehe (f)	toe
Zehen (pl)	toes
Zehennagel (m)	toenail
Zeichen (n)	sign
Zeichen (n)	token
Zeichengeber (m)	sender
Zeichentrickfilm (m)	cartoon
Zeichnung (f)	drawing
Zeichnungpapier (n)	drawing paper
Zeiger (m)	cursor
Zeiger (m)	hand
Zeile (f)	line
Zeilen (pl)	lines
Zeit (f)	time
Zeitgeist	zeitgeist
Zeitgenosse (m)	contemporary
Zeitpunkt (n)	time
Zeitraum (m)	period
Zeitschrift (f)	journal
Zeitschrift (f)	magazine
Zeitschrift (f)	periodical
Zeitung (f)	journal
Zeitungen (pl)	newspapers
Zeitungsanzeige (f)	advert
Zeitungshändler (m)	newsstand
Zeitvertreibpark (m)	amusement park
Zeitwort (n)	verb
Zellophan (n)	cellophane
Zement (m)	cement
Zen	zen
Zenit (m)	zenith
Zeolith[Noun]	zeolite
Zeppelin	zeppelin
Zeremonie (f)	ceremony
Zero, Nichts (n)[Noun]	naught
Zesto.rer[Noun]	destroyer
Zeuge[Noun]	witness
Zeugen[Noun]	witnesses
Zickzack (m)	zigzag
Zickzack, im Zickzack (laufen etc.)	zigzag
Zickzack-[Adjective]	zigzagged
Zickzackteilstück (n)[Noun]	zag
Zickzackteilstücke (pl.)[Noun]	zags
Ziege (f)	goat
Ziehharmonika (f)	accordion
Ziehung (f)	drawing
Zieler	aimer
Zielern	aimers
Zielkonflikt[Noun]	tradeoff
Zierde (f)	honor
Ziffer (f)	numeral
Ziffer (f)	rate
Ziffer (m)	digit
Zifferblatt (n)	dial
Zigarette (f)	cigarette
Zigaretten (pl)	cigarettes
Zigarre (f)	cigar
Zimmer (n)	room
Zimmer frei	vacancies
Zimmerbedienung (f)	room service
Zimmerdienst (m)	room service
Zimmermannabc	carpenter
Zimmernummer (f)	room number
Zimmerschlüssel (m)	room key
Zink[Noun]	zinc
Zins (m)	interest
Zipfel (m)	tip
Zirkel (m)	circle
Zitat (n)	quote
Zither	zither
Zitherspieler	zitherist
Zitrone (f)	lemon
Zitronen[Noun]	lemons
Zloty (poln. Wa.hrung)[Noun]	zloty
Zlotys (poln. Wa.hrung)[Noun]	zlotys
Zobel (m)	sable
Zoll (f)	customs
Zoll (m)	customs
Zollamt (n)	custom
Zollamtmakler (m)	customs broker
Zollbeamte (m)(f)	customs official
Zollfreie Waren	nothing to declare
Zollfreigeschäft (n)	duty-free shop
Zollämter (pl)	customs
Zombi[Noun]	zombi
Zone (f)	zone
Zonen[Noun]	zones
Zoo (m)	zoo
Zoologe[Noun]	zoologist
Zoologen[Noun]	zoologists
Zoologie[Noun]	zoology
Zoos, Tierga.rten[Noun]	zoos
Zotte, Zipfel, Fetzen[Noun]	dag
Zubehoer	accessory
Zubehör	accessory
Zubehör[Noun]	accessories
Zucherrohr (n)	sugar cane
Zucker (m)	sugar
Zufall (m)	accident
Zufall (m)	hazard
Zug (m)	drawing
Zug (m)	move
Zug (m)	pull
Zug (m)	train
Zugang	access
Zugkraft (f)	pull
Zugmaschine (f)	tractor
Zugänglichkeit	accessibility
Zuneigung	affection
Zunge (f)	tongue
Zurückadresse (f)	return address
Zurückfahrkarte (f)	round-trip ticket
Zurückreise (f)	round-trip
Zusaetzlich	additionally
Zusammenfluß (m)	confluence
Zusammenhang (m)	connection
Zusammenrottung (f)	riot
Zusammensetzung (f)	combination
Zusatz	addition
Zuschauer[Noun]	onlooker
Zuschauer[Noun]	onlookers
Zustand (m)	state
Zustand[Noun]	habit
Zustimmung (f)	okay
Zutritt verboten	no admission
Zuwendung (f)	donation
Zweibeln (pl)	onions
Zweig (m)	branch
Zweig (m)	leg
Zweirad (m)	bicycle
Zweite (m)	second
Zweiter (m)	second
Zweitkopien	backups
Zwetschge (f)	plum
Zwiebel (f)	onion
Zwinger[Noun]	kennel
Zwirn (m)	twine
Zwirnband (n)	tape
Zwischenraum (m)	space
Zwischenstecker (m)	adapter
Zähler (m)	meter
Zähne (pl)	teeth
Zäpfchen (pl)	suppositories
Zölle (pl)	customs
Zündung (f)	ignition
a	letter
a.lteste[Adjective]	eldest
a.ltlich[Adjective]	elderly
a[Conjunction]	mandolin
a[Verb]	mandibular
abakteriell	abacterial
abberufen	number
abbilden	image
abbrechen	cancel
abbrechen, aufhören, abtreiben	abort
abdominal	abdominal
abdominal, den Unterbauch betreffend	abdominally
abendlich	evening
aber	but
abfahren	depart
abfahren	leave
abfliegen[Verb]	takeoff
abfragen	query
abfragen	sample
abfragen	test
abgeben	check
abgebla.ttert[Adjective]	flaked
abgebrochen	canceled
abgebrochen, abgetrieben	aborted
abgedankt	abdicated
abgedroschen[Adjective]	hackneyed
abgeku.rzt	abbreviated
abgemacht	agreed
abgeordnete	representative
abgeordneter	representative
abgerundet	rounded
abgeschafft	abolished
abgeschieden	departed
abgeschlossen	completed
abgeschlossen	finished
abgetragen (of clothes)[Verb]	worn
abgewichen	aberrated
abgreifen	thumb
abgru.ndig	abysmal
abgrundtief, tief	abyssal
abhängen	hinge
abiogenetisch[Adjective]	abiogenetic
abiogenetisch[Adjective]	abiogenetical
abiogenetisch[Adverb]	abiogenetically
abiotisch[Adjective]	abiotic
abiotisch[Adverb]	abiotically
abisoliert	bare
abku.rzen	abbreviate
abku.rzung	abbreviating
abkuerzen	abbreviates
ablegen	store
ablehnend[Adjective]	unanimously
abliefern	deliver
abnormal	abnormal
abnormal[Adjective]	abnormally
abnormalisieren[Verb]	abnormalize
abnormalisiert[Verb]	abnormalizes
abonnieren	subscribe
abreagieren	abreact
abrechnen	deduct
abrechnen	get even
abrechnen	settle up
abrechnen	take off
abreibend, abschleifend	abrasive
abreisen	depart
abrupt[Adjective]	abrupt
absatzwesen	marketing
abschaffen	abolish
abschaffen; beseitigen	abrogate
abschaffend[Verb]	abolishing
abschaffenen[Verb]	abolishes
abschaffener[Pronoun]	abolisher
abscheulich, widerwa.rtig	abominable
abschickend	mailing
abschließend	final
abschneiden	cut
abschreiben	copy
abschwo.ren	abjure
absehen	look away
abseilen	rope
abseits; getrennt	apart
absenden	post
absinken	fall
absolut	absolute
absolutistisch[Adjective]	absolutistic
absorbieren	absorb
absorbierend[Adjective]	absorbent
absorbiert[Verb]	absorbed
absorbierung[Verb]	absorbance
absorbierungen	absorbtions
absteigend	downward
abstempeln	cancel
abstempeln	stamp
abstimmen	vote
abstinent	abstinent
abstossend, nicht ansprechend[Adjective]	unappealing
abstrahieren[Verb]	abstracting
abstrahierung[Noun]	abstraction
abstrahlen	radiate
abstrakt	abstract
abstrus	abstruse
abstufen	graduate
abstufen	step
abstürzen	fall
absuchen	search
absurd,widersinnig	absurd
absurderweise[Adverb]	absurdly
abtasten	sample
abtreibend[Adjective]	abortive
abwandeln	vary
abwandern	depart
abwandern	migrate
abwarten	wait
abwechselnd	alternate
abweichen	depart
abweichen[Verb]	aberrate
abweichend	variant
abweichend[Adjective]	aberrational
abweichend[Adverb]	aberrantly
abwesend	absent
abwesend, in Abwesenheit[Adverb]	absently
abwickeln	handle
abwägen	consider
abwärts	downward
abzapfen	tap
abändern	revise
acht	eight
achtsilbig[Adjective]	octosyllabic
achtzehn	eighteen
achtzehnte	eighteenth
achtzig	eighty
achtzigfach	eightyfold
achtzigste	eightieth
addieren	add
adoptieren	adopt
adressieren	address
adressierte nach (...)	addressed to (...)
aengstlich	afraid
aergerlich	angrily
aergerlich; boes	angry
aergern; belaestigen	annoy
affekt	affect
agnostisch	agnostic
akademisch	academic
akademisch[Adjective]	academical
akatalektisch	acatalectic
akklimatisieren[Verb]	acclimate
akklimatisiert[Adjective]	acclimated
akt	nude
aktuell	current
aktuell	currently
akut	acute
akzeptabel,annehmbar	acceptable
akzeptieren,annehmen	accept
akzeptieren[Verb]	accepting
alarmieren	alarm
algorithm	algorithm
alkoholfreie Getränk (n)	soft drink
alle	all
alle	every
allein	alone
alleinig	sole
allem	all
allen	all
allenthalben	everywhere
aller	all
aller	everything
alles	all
alles	everything
alles[Noun]	all
allgegenwa.rtig[Adjective]	omnipresent
allgegenwa.rtig[Adverb]	omnipresently
allgegenwaertig[Adjective]	ubiquitous
allgemein	public
allgemein[Adjective]	general
allgemein[Adverb]	generally
alljährlich	annual
allma.chtig[Adjective]	omnipotent
allma.chtig[Adverb]	omnipotently
allma.hlich schneller	accelerando
allmählich	gradual
alltäglich	trivial
allwissend[Adjective]	omniscient
allwissend[Adverb]	omnisciently
als	for
als	when
als Filet herrichten	filet
als sprechen wir	as we speak
als wo da nachdem	when
also	thus
alt	ancient
alt	old
alte Frau (f)	old lady
alte Geschichte (f)	old story
alter[Noun]	age
altertuemlich; antik	antique
altertümlich	archaic
am	at the
am	on the
am Westen	west
am gesu,ndesten[Adjective]	healthiest
am glu.cklichsten[Adjective]	happiest
am ha.sslichsten[Noun]	ugliest
am haarigsten[Adjective]	hairiest
am handlichsten[Adjective]	handiest
am leichtesten[Adjective]	easiest
am mildesten[Adjective]	mildest
am schwersten[Adjective]	heavies
am schwulsten[Adjective]	gayest
am traurigsten[Adjective]	saddest
amerikanische Bürger (m)	American citizen
amerikanische Dollar (m)	American Dollar
amerikanische Expreß (m)	American Express
amerikanische Expreßamt (n)	American Express Office
amerikanische Fußball (m)	American football
amuesant	amusing
amuesieren	amuse
amuesiert	amuses
amüsieren	amuse
an	at
an	to
an Bord	aboard
an Kurs	on-course
an das	on the
an den	on the
an der	on the
an die	on the
analysieren	analyze
anbeten	adore
anbieten	quote
anbringen	locate
and[Adjective]	mandatories
andauern	stand
ander	other
andere	another
andere	other
anderen	other
anderer	another
andern[Verb]	alter
andeuten	intimate
anerkennen	for a long time
anerkennen, bestaetigen	acknowledge
anfahren	hit
anfangen[Verb]	begin
anfertigen	make
anfertigen	prepare
anfeuern	fire
anführen	quote
angeben	state
angeboren	inherent
angeboren	native
angebracht	proper
angeln	fish
angenehm	agreeable
angepaßt	adjust
angesagt	announced
angeschlossen	associate
angeschlossenen	connect
angrenzend	adjoining
anhaftend	inherent
anhalten	continue
anhalten	last
anhalten	stop
anheben	raise
anheften	pin
anhängen	couple up
anhängen	hang up
anhören	listen
anklagen, beschuldigen	accuse
ankommen	get
ankünfte	arrive
anlangen	arrive
anlaufen	rise
anlegen	apply
anlegen	berth
anlegen	create
anlegen	land
anlegen	landing
anlegen	put on
anleiten	guide
anleiten	instruct
anlernen	train
anmaßend	arrogant
anmerken	note
anmessen	fit
annehmen	adopt
annulieren; ungueltig machen	annul
annullieren	cancel
annullierte	canceled
anomal	aberrant
anonym	anonymous
anordnen	order
anorganisch	mineral
anpassen	adjust
anpassen	fit
anpassen	suit
anrechnen	credit
anreiben	rub
anrufen	call
ansage	announcement
ansagen	announce
ansagen	announcements
ansager	announcer
ansager	announcers
anschauen	look at
anschaulich	graphic
anschlagen	post
anschließen	connect
anschreiben	charge
ansehen	look at
ansehnlich	handsome
ansetzen	schedule
ansetzen	set
anspannen	strain
ansprechen	address
anstatt (...)	instead of (...)
anstecken	light
ansteigen	rise
anstossen, angrenzen	abut
anstreichen	paint
anständig	handsome
antasten	handle
antiseptisch	antiseptic
antun	put on
antworten	answer
antworten	answers
anweisen	direct
anweisen	instruct
anwenden	apply
anwenden	use
anwenden	utilize
anzeigen	advertise
anzeigen	see
anziehen	dress
anziehen	put on
anzweifeln	question
anzünden	ignite
applaudieren; klatschen	applaud
arbeiten	operate
archaisch	archaic
arktisch	arctic
arm	poor
armreif	bangle
arrogant	arrogant
artig	good
atmen	breathe
auch	also
auch	too
auchnicht	nor
auf	at
auf	to
auf	up
auf Kinder aufpassen[Verb]	babysit
auf den neuesten Stand bringen[Verb]	update
auf den neuesten Stand gebracht, erweitert[Adjective]	updated
auf einander (...)	on another (...)
auf magische Weise	magically
auf sparsame weise	economically
aufanbringen	apply
aufbauen	establish
aufbauen	set up
aufblasen	inflate
auffordern	ask
auffordern	invite
aufführen	list
aufgeben	mail
aufgeben	quit
aufgeben, im Stich lassen, preisgeben	abandon
aufgegabelt	forked
aufhalten	keep
aufhalten	stop
aufhoeren, beenden, abtreiben[Verb]	aborting
aufhören	quit
aufhören	stop
aufklären	clear
aufladen	upload
auflegen	apply
auflehnen	revolt
auflisten	list
aufmachen	open
aufnehmen	include
aufnehmen	record
aufpumpen	inflate
aufreiben	worry
aufrichtig	sincerely
aufräumen	tidy
aufsaugend; fesselnd, packend	absorbing
aufschieben	delay
aufschlagen	open
aufschlagend	serving
aufschreiben	write
aufsetzen	put on
aufsperren[Verb]	unbar
aufstehen	be open
aufstehen	get up
auftragen	instruct
aufwachen	wake
aufwärts	upward
aufzeichnen	record
aus	from
aus	of
aus	out
aus	over
aus alten Zeiten	anciently
aus dem Gleichgewicht bringen, das Gleichgewicht sto.ren[Verb]	unbalance
ausatmen	exhale
ausbessern	mend
ausbilden	educate
ausbreiten	spread
ausbruch	eruption
ausdrücken	express
ausdrücken	phrase
ausfragen	quiz
ausführen	do
ausführen	export
ausfüllen	fill
ausgeben	issue
ausgebraucht	exhausted
ausgefallen	rare
ausgeglichen	balanced
ausgehen	date
ausgesucht	select
ausgewandert[Verb]	migrated
ausgewählt	selected
ausgezehrt[Adjective]	haggard
ausgezeichnet	excellent
ausgleichen	balancing
auslagern	page
auslassen	ignore
ausliefern	deliver
auslüften	air
ausnutzen	utilize
auspacken[Verb]	unbox
ausprobieren	sample
ausprobieren[Verb]	tryout
ausradieren	erase
ausreichend	adequate
ausreißen	bolt
ausrichten	deliver
ausrichten	justify
ausrichten	orient
ausruhen	rest
ausruhsam	restful
ausscheiden	retire
aussehen	look
ausserdem	furthermore
ausserhalb	outside
aussetzen	abandon
aussetzen	lower
aussetzen	offer
aussprechen	vocalize
ausspucken	expectorate
ausstatten	fit
ausstehen	stand
aussteigen	exit
ausstellen	issue
ausstellen	show
ausstoßen	jet
ausstrahlen	radiate
ausstreichen	delete
aussuchen	choose
aussuchen	select
austeilen	distribute
austragen	deliver
ausverkauft	sold out
auswahl	select
auswahl	selected
auswandern	emigrate
auswerten	utilize
auswählen	choose
auswählen	select
auszacken	indent
automatik	automatic
automatisch	automatic
außer	down
außer betrieb	dead
außerdem	moreover
außerhalb	out
außerhalb	outside
außerstande	unable
aß	ate
b	b
baby[Verb]	mandragora
babyhaft	babyish
backen	bake
backen	baking
backt	bakes
backte	baked
badend	bathing
bald	soon
bald sowie rasch	soon
baldig	early
balken	bar
banal	banal
bandagiert[Adverb]	bandaged
bankrott	bankrupt
bankrott	broke
bannen	banish
bares Geld	cash
barock	baroque
baumartig[Adjective]	arboreal
baumartig[Adverb]	arboreally
bearbeiten	handle
bearbeiten	process
bedankt	thanks
bedauernd	sorry
bedaure	sorry
bedecken	cap
bedenklich	questionable
bedienen	attend
bedienen	handle
bedienen	operate
bediente	attendant
bedürftig	needy
beehren	honor
beeilen	hurry
beeinflussen	affect
beenden	end
beendet	completed
beendet	finished
beendet	past
beendigen	end
befassen	attend
befehlen	order
befehlshaber[Noun]	commander
befestigen	confirm
befestigt	attached
befo.rdern, anheben, verbessern[Verb]	upgrade
befolgen	follow
befolgen, einhalten[Verb]	abide
befragen	question
befreien	deliver
befriedigen	satisfy
befühlen	finger
begabt	gifted
begegnen Morgen	see you tomorrow
begeisterte Anhänger (m)	fan
begießen	water
begießt	showers
begleiten	accompany
begleiten	attend
beglu.ckwu.nschen[Verb]	felicitate
begrenzen	limit
begrenzt	limited
begründen	establish
begründen	ground
begründen	justify
begrüßen	welcome
behaart[Adjective]	haired
behagen	please
behalten	keep
beherbergen	accommodate
beherrschen	master
beherrschend	dominant
beherzt	game
beherzt[Adjective]	heartedly
beherzt[Conjunction]	hearted
behielt	kept
bei	about
bei	at
bei	near
bei	of
bei	to
bei	with
beiden	two
beifügen	add
beifügen	include
beilegen	add
beinahe	almost
beinahe[Adverb]	nearly
beipflichten, zustimmen	accede
beirren	confuse
beiwohnen	attend
bekamm	got
bekannt	well-known
bekanntgeben	publish
bekleiden	cover
bekleiden	fill
bekommen	get
bekommen	getting
bekommen	receive
bekommend	getting
bekräftigen	confirm
bekümmern	grieve
belanglos	trivial
belastet	charges
beleben	animate
belegen	use
belegt	busy
belegt	occupied
belegt	reserved
belegt	used
belehrend	educational
beleuchten	light
belieben	please
beliebig	any
beliebigen	any
beliebt	popular
belu.ften[Verb]	ventilate
belu.ftet[Verb]	ventilated
belu.ftet[Verb]	ventilates
belustigen	amuse
bemannen	man
benannt	named
bench	bank
benennen	name
benieden	below
benutze	used
benutze	using
benutzen	use
benutzt	used
benötige	require
benötige	want
benötigen	need
benötigen	require
benötigen	want
benötigt	need
benötigt	needed
beobachten[Verb]	observe
beobachtet[Verb]	observed
beobachtet[Verb]	observes
bequem	easy
ber"uchtigt[Adjective]	notorious
beraten Sie mir, wenn ich aus Bedienung	let me know if I can be of service
berechenbar, kalkulierbar[Adjective]	calculable
berechnen	calculate
berechnen[Verb]	calculating
berechnet, vorbedacht, absichtlich[Adjective]	calculated
berechnet[Verb]	calculates
berechtigen	justify
bereift	frosted
bereit	prepared
bereit	ready
bereiten	prepare
bereitete vor	prepared
bergauf[Adverb]	uphill
bergsteigen	climbing
berichtigen, aendern, verbessern	amend
beruhen	rest
beruhigen	quiet
berücksichtigen	consider
berühmt	famous
besaenftigen	appease
besatz	border
bescha.men, verlegen machen	abash
beschatten	tail
beschauen	contemplate
bescheiden	humble
beschleunigen	accelerate
beschleunigt	accelerated
beschleunigt[Verb]	accelerates
beschreiben	write
beschriften	labeled
beschränken	limit
beschränkt	limited
beschädigte	damaged
beschäftigen	occupied
beschäftigt	busy
beschämend[Verb]	abashing
beschämt[Verb]	abashes
beschönigen	excuse
besetzen	fill
besetzt	busy
besetzt	engaged
besetzt	occupied
besinnen	remember
besohlen	sole
besonder-	special
besonders	extra
besorgt	careful
besprechen	discuss
besprengen, betupfen, planschen[Noun]	dabble
best-	best
bestaetigen	affirm
beste	best
beste	first
besten Dank fu.r Ihre Mu.he	thanks for the trouble
bester	best
bestrafen[Verb]	punish
bestraft[Verb]	punished
bestreuen	tax
beständig	perennial
bestätigen	confirm
besuchen	attend
besuchen Sie erstmals nach (...)	is this your first visit to (...)
betonen	accent
betonen	accentuate
betonend	accentuating
betonent	accented
betont	accentuates
betonte	accentuated
betrachten	consider
betrachten	contemplate
betrachten	viewed
betrachten	viewing
betrachtend	contemplating
betreffen	affect
betreibt	operate
betrieb	down
betrüben	grieve
betrüben[Verb]	sadden
betrübt[Adjective]	saddened
betupfen	dab
betätigen	operate
betätigen	show
beurteilen	judge
beutelvoll	bagful
bevor	before
bevölkern	people
bewachen	watch
bewaffnen	arm
bewahren	keep
bewaldet	forested
bewegen	affect
bewegen	move
bewerten	grade
bewerten	price
bewerten	rate
bewirken	effect
bewirtschaften	farm
bewohnbar[Adjective]	habitable
bewundern	admire
bewundernt	admired
bewältigen	overcome
bewölkt	cloudy
bezug	cover
bezugsgröße	base
biegende Straße (f)	winding road
bier	beer
bieten	bid
bilden	make
bilden herstellen	make
bildend	educational
billig	cheap
billig	inexpensive
bin	am
binden	tie
bis	until
bis jetzt sogar	yet
bis zu	until
bist	are
bitte	please
bitte sehr	don't mention it
bitten	ask
bitten	invite
bla.ttrig[Adjective]	leafy
blau	blue
bleiben Sie bis die Kühe nach Hause kommen	wait until the cows come home
bleiben Sie hier	wait here
bleiben[Verb]	stay
bleibt ein Arzt hier	is there a doctor here
bleibt ein Arzt hier, wie Englisch spri	is there a doctor who speaks English
blendet	blinds
blicken	look
blinken	blink
blinken	flash
blinkend	blink
blinzeln	blink
blitzen[Adjective]	lightninged
blitzlicht (n)	flash
blockieren	block
blockieren	jam
blockiert	blocked
bloß	bare
bloß	sheer
bluten	bleed
blutend	bleeding
blutig	rare
blöd, blöde[Adjective]	zany
blöde	stupid
blöder[Adjective]	zanier
blühen	flower
boom[Adjective]	mandorla
boom[Adjective]	mandrake
borkenkäfer	letter
borniert	stupid
boxen	box
brach	broke
brandwunde	burn
branntwein	brandy
brasilianisch	Brazilian
braten	bake
braten	barbecue
braten	broil
bratete	broiled
brauchbar	useful
brauchen	require
brauchen	use
brauchen	want
braun	brown
brav	good
bremst	brakes
brennen	burn
bricht ab[Verb]	aborts
bringen	carry
bringen	take
britisch	British
broetchen	kaiser
brummen	buzz
bräunen	brown
bräunen	tan
brüllen	yell
buchen	book
buchstabieren	spell
bunt	colorful
buschig	bushy
butt	rectum
bäumen	rear
bügeln	iron
bündeln	bunch
bürsten	brush
chemisch	chemical
chinesisch	Chinese
chinesische Speise (f)	Chinese food
christlich	Christian
cirka	about
cold	ice
come[Noun]	mandatorial
da	since
da	then
da	there
dachte darum	thought about
dafür	instead
dahin	there
damals	then
dank	thanks
danke	thank you
dann	then
darf	can
darf	may
darstellen	picture
darstellen	represent
darstellen verkoerpern	represent
darstellend	representative
darüber	over
das	the
das Alphabet	abc
das Ereignis, das Happening[Noun]	happening
das Handbuch[Noun]	handbook
das Hauptquartier[Noun]	headquarter
das Haus	house
das Karomuster[Noun]	plaid
das Madrigal[Noun]	madrigal
das Magma[Noun]	magma
das Magnesium[Noun]	magnesium
das Makrame[Noun]	macrame
das Ohr[Noun]	ear
das Postschiff[Noun]	mailboat
das Taschentuch[Noun]	handkerchiefs
das gehört mir nicht	that is not mine
das ist alles	that is all
das ist alles	that will be all
das ist alles	that's all
das ist mir zu teuer	that is too expensive for me
das macht zehn Mark bitte	that is ten DM please
datieren	date
datiert	dated
datierte	dated
dauerhaft	permanent
dauerhaft	permanently
dauerhaft	strong
dauern	last
dauern	take
dauernd	perennial
dauernd, beständig[Adjective]	abiding
dazuschalten	add
daß ist ein Weg es zu sagen	that is one way to say it
daß ist es	that is it
deaktivieren[Verb]	inactivate
decken	cover
decken	tile
degrees	grade
dehnen	strain
dein	your
deine	your
dekend darum	thinking about
delikat	delicate
dem	the
demnächst	soon
demütig	humble
den	the
denken darum	think about
denn	for
dennoch	still
dennoch	yet
deponieren	deposit
der	of the
der	the
der Absolutismus[Noun]	absolutism
der Ausdruck[Noun]	hardcopy
der Baum[Noun]	tree
der Entfu.hrer	abductor
der Hafen[Noun]	harbor
der Hamburger[Noun]	hamburger
der Hamster[Noun]	hamster
der Handball[Noun]	handball
der Hangar[Noun]	hangar
der Harem[Noun]	harem
der Hedonismus[Noun]	hedonism
der Hedonist[Noun]	hedonist
der Heiler[Noun]	healer
der Hektoliter[Noun]	hectoliter
der Herzschlag[Noun]	heartbeat
der Hitzschlag[Noun]	heatstroke
der Ho.rer[Noun]	hearer
der Irre[Noun]	madman
der Kla.ger[Noun]	plaintiff
der Kopfho.rer[Noun]	headphone
der Kunst[Noun]	d%27art
der Macho[Noun]	macho
der Mafioso[Noun]	mafioso
der Magnet[Noun]	magnet
der Makroprozessor[Noun]	macroprocessor
der Notbehelf[Noun]	makeshift
der Ohrenschmalz[Noun]	earwax
der Ohrenstoepsel[Noun]	earplug
der Ort[Noun]	place
der Postbote, der Brieftra.ger[Noun]	mailman
der Postsack[Noun]	mailbag
der Punk[Noun]	punk
der Schuldige[Noun]	culprit
der Teckel[Noun]	dachshund
der Tisch[Noun]	table
der To.lpel[Noun]	oaf
der Unterleib, der Bauch	abdomen
der Verdiener[Noun]	earner
der Verdienst[Noun]	earnings
der Zettel, das Etikett	ticket
der(/die) Helfershelfer(in)[Noun]	abetter
der/die Abwesende[Noun]	absentee
der/die Bekannte	acquaintance
derSchule[Noun]	school
des	of the
des	the
des Seins[Noun]	d%27etre
des Staats[Noun]	d%27etat
des von	of
desodorierend	deodorant
destruktiv, gewalttätig	abusive
deutlich	clear
deutsch	German
dich[Pronoun]	you
dick	fat
die	the
die Abku.rzung	abbreviation
die Absa.tze[Noun]	heels
die Absolution[Noun]	absolution
die Abtragung (of rock)[Noun]	ablation
die Abweichung	aberration
die Abwesenden[Noun]	absentees
die Abwesenheit, das Schwa.nzen[Noun]	absenteeism
die Adler[Noun]	eagles
die Attraktion -en[Noun]	attraction
die Baeuche	abdomens
die Bauer (oustide wall)	wall
die Bekanntschaft	acquaintances
die Betonung	accentuation
die Bombe[Noun]	bomb
die Bomben[Noun]	bombs
die Briefka.sten[Noun]	mailboxes
die Entfu.hrer	abductors
die Entsagung, die Abschwo.rung[Noun]	abjuration
die Ereignisse[Noun]	happenings
die Fahrkarte, der Fahrschein	ticket
die Falken[Noun]	hawks
die Freisprechung	acquittal
die Genauigkeit	accuracy
die Ha.nde[Noun]	hands
